Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PhotoAmt,description_wordcount
1,3,103,307,2,1,2,0,2,2,1,3,2,1,1,0,41326,5451,0,2.0,21
2,2,266,299,3,1,0,0,2,1,2,2,2,1,2,0,41326,142,0,1.0,21
2,2,303,264,2,1,3,7,3,3,2,2,2,1,1,0,41326,1254,0,1.0,92
1,24,179,0,3,5,0,0,1,3,3,3,2,2,2,100,41330,2916,0,1.0,19
1,2,307,307,2,1,2,0,2,1,2,2,2,1,1,0,41401,4049,0,3.0,24
1,3,307,307,3,1,7,0,2,1,2,2,2,1,2,0,41326,3163,0,1.0,3
1,60,49,0,1,2,0,0,2,1,3,3,3,1,1,0,41326,4584,0,1.0,81
2,1,266,0,1,1,7,0,1,1,2,1,2,1,1,0,41326,3638,1,5.0,215
2,1,266,0,3,7,0,0,1,1,2,2,2,1,2,0,41326,1804,0,2.0,213
1,2,307,0,1,1,2,0,2,1,3,3,2,1,1,0,41326,5451,0,3.0,16
2,4,265,265,2,7,0,0,2,1,1,1,2,1,1,100,41401,5049,0,8.0,154
2,12,266,266,2,1,7,0,2,1,1,1,2,1,1,180,41401,891,0,2.0,92
2,5,266,0,1,3,5,7,2,1,3,3,3,1,1,0,41326,1380,0,2.0,91
2,25,266,0,1,4,5,7,3,1,2,1,2,1,1,30,41401,4320,0,2.0,3
2,2,266,0,2,1,2,4,2,1,2,1,3,1,1,0,41326,512,0,4.0,27
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,41326,5451,0,4.0,34
2,2,266,0,1,4,0,0,2,1,2,2,2,1,1,0,41326,230,0,6.0,71
2,2,266,0,2,6,0,0,2,1,2,2,2,1,1,0,41326,398,0,2.0,6
1,1,307,0,2,2,7,0,1,1,2,2,2,1,1,0,41401,5235,0,3.0,65
1,36,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41401,2229,0,1.0,35
1,1,307,0,2,2,5,0,2,2,2,2,2,1,1,0,41327,2813,0,6.0,5
2,1,266,0,2,1,6,7,1,1,2,2,2,1,1,0,41401,1456,0,1.0,80
1,3,200,0,3,1,5,7,2,1,2,1,2,1,4,0,41326,1827,0,6.0,160
2,3,254,254,3,1,6,0,1,1,2,2,2,1,2,0,41326,3959,0,4.0,92
1,2,218,0,3,1,2,7,2,1,2,2,2,1,2,0,41326,3764,0,3.0,29
1,6,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,1300,0,4.0,215
2,2,266,0,3,5,7,0,2,1,2,2,2,1,4,0,41327,3499,0,4.0,53
2,0,265,0,3,1,2,7,2,2,2,2,2,1,3,0,41326,3784,0,4.0,47
2,3,265,0,1,3,0,0,1,2,2,2,2,1,1,0,41326,1780,0,3.0,65
2,5,243,268,1,1,0,0,2,1,1,1,1,1,1,100,41401,5522,0,2.0,6
1,48,147,0,1,7,0,0,2,2,1,1,1,1,1,300,41401,4574,0,1.0,13
2,10,266,303,2,1,4,7,2,1,1,1,1,1,1,0,41326,5033,0,2.0,124
1,24,307,0,1,2,0,0,3,1,3,3,3,1,1,0,41401,5295,1,2.0,52
1,6,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41336,1831,0,1.0,135
1,1,141,307,3,2,5,7,2,2,2,2,2,1,4,50,41326,3034,0,11.0,167
1,24,307,0,2,2,0,0,2,1,1,1,1,1,1,50,41326,2217,0,4.0,20
1,84,128,0,2,2,7,0,1,1,1,1,1,1,1,0,41401,2222,0,3.0,51
1,1,307,0,1,1,4,0,2,1,3,3,2,1,1,0,41326,5451,0,1.0,13
1,14,141,307,1,7,0,0,2,2,2,2,2,1,1,0,41326,4257,0,4.0,53
1,3,307,78,2,1,2,0,2,2,1,1,2,1,1,0,41326,5451,0,4.0,23
1,72,213,0,2,7,0,0,2,2,1,1,2,1,1,0,41326,194,0,3.0,129
2,2,266,0,2,1,7,0,1,1,2,2,2,1,1,0,41401,2141,0,3.0,4
2,2,266,0,2,2,4,6,2,1,2,1,1,1,1,0,41326,4606,0,11.0,112
2,1,250,0,1,1,0,0,2,1,1,1,2,1,1,0,41401,516,0,5.0,119
2,6,265,0,1,3,7,0,3,2,2,2,1,1,2,0,41401,1813,0,2.0,16
1,48,103,0,1,1,0,0,3,1,1,1,1,1,1,300,41327,2835,0,2.0,236
1,3,128,307,2,1,2,7,2,1,1,1,2,1,1,0,41326,3218,0,6.0,167
1,20,307,0,1,1,2,7,2,1,3,3,3,1,2,0,41326,1640,0,1.0,64
1,2,307,0,1,1,2,0,2,1,2,1,2,1,1,0,41327,5513,0,6.0,19
1,24,179,0,1,2,0,0,1,1,1,1,2,1,1,0,41401,1942,0,2.0,56
1,4,307,0,2,2,0,0,2,1,2,1,2,1,1,0,41326,566,0,5.0,253
2,4,266,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,194,0,1.0,38
2,12,265,0,2,7,0,0,2,2,2,3,3,1,1,0,41324,2757,0,1.0,10
1,2,307,307,2,5,0,0,2,2,2,1,2,1,1,0,41326,4007,0,2.0,3
2,8,266,0,2,7,0,0,2,1,3,3,3,1,1,0,41326,4142,0,3.0,6
2,2,265,0,2,6,7,0,2,2,2,1,2,1,1,0,41326,3118,0,3.0,16
2,2,266,0,3,2,7,0,1,1,2,2,2,1,2,0,41326,5096,0,2.0,66
1,17,182,0,1,7,0,0,2,1,1,1,2,1,1,0,41327,765,0,1.0,53
1,2,307,0,3,1,2,7,3,1,2,2,2,1,6,0,41326,3418,0,3.0,97
1,60,69,0,1,1,2,0,2,2,1,1,1,2,1,0,41326,2577,0,2.0,43
2,2,266,266,3,1,7,0,2,1,2,2,2,1,2,0,41326,3808,0,3.0,41
1,36,109,307,2,3,5,0,3,2,1,1,2,1,2,0,41401,2619,0,2.0,100
1,1,307,0,2,2,5,7,2,1,1,1,2,1,1,35,41326,2409,0,5.0,100
1,1,307,0,1,1,2,0,2,1,3,1,2,1,1,0,41326,5451,0,2.0,17
2,2,266,0,2,1,6,0,2,1,2,2,2,1,1,0,41326,3482,0,1.0,21
2,3,266,0,1,1,7,0,1,1,2,2,2,1,1,0,41401,5236,0,3.0,4
1,18,307,0,2,1,2,0,2,1,1,1,1,1,1,0,41326,3007,0,3.0,134
2,10,266,0,1,7,0,0,2,1,1,1,1,1,1,0,41327,3499,0,6.0,43
1,2,69,307,2,1,0,0,2,1,3,1,2,1,1,0,41401,4233,0,5.0,38
2,2,266,0,1,1,2,0,1,1,2,1,2,1,1,50,41326,2014,0,5.0,63
1,1,307,0,3,1,2,7,2,2,2,2,2,1,5,0,41326,4818,0,14.0,69
1,3,307,213,2,2,7,0,1,2,1,1,2,1,1,235,41326,919,0,4.0,53
1,2,307,307,2,2,6,0,2,1,1,1,2,1,2,0,41326,1327,0,2.0,50
2,13,266,0,2,1,6,0,1,1,1,1,1,1,1,60,41326,2217,0,1.0,16
1,2,307,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,3354,0,3.0,53
1,1,307,0,2,1,5,0,2,2,2,1,2,1,1,0,41401,1265,0,4.0,72
1,28,307,0,1,2,0,0,2,1,1,1,1,1,1,0,41326,3641,0,2.0,48
1,24,307,0,1,2,0,0,2,2,1,1,3,1,1,0,41401,5186,0,5.0,101
2,10,265,296,3,2,6,7,3,2,1,1,2,1,2,100,41326,2659,0,8.0,148
2,2,266,0,3,1,2,7,1,1,2,1,2,1,2,0,41401,4074,0,25.0,88
2,1,266,0,1,2,6,7,2,1,2,1,2,1,1,0,41326,5033,1,4.0,173
2,2,292,0,1,2,5,0,2,1,2,1,2,1,1,0,41327,3499,0,2.0,38
1,2,307,307,2,1,0,0,2,2,2,3,3,1,4,0,41326,3935,0,3.0,5
1,4,307,307,2,2,0,0,2,2,2,3,3,1,1,0,41326,5395,0,4.0,76
1,2,307,0,2,5,7,0,3,2,3,3,3,1,1,0,41326,5099,0,5.0,35
1,24,307,0,1,2,7,0,2,1,2,1,1,1,1,0,41326,4056,0,3.0,56
1,6,307,0,2,1,2,0,2,1,2,2,3,2,1,0,41326,1620,0,1.0,49
2,3,242,0,2,1,6,7,2,2,2,2,2,1,1,0,41326,4915,0,5.0,9
2,12,283,0,2,2,4,7,2,2,1,1,1,1,1,0,41326,3699,0,4.0,517
1,2,307,0,2,3,4,7,3,2,2,2,2,1,1,0,41327,1072,0,6.0,3
2,5,285,0,2,5,7,0,2,1,2,2,2,1,2,0,41326,3040,0,5.0,98
2,5,266,0,1,1,0,0,2,1,2,1,2,2,1,0,41330,5071,0,4.0,34
1,60,189,0,1,1,0,0,3,1,1,1,2,1,1,0,41401,3016,0,2.0,63
1,4,307,0,1,1,0,0,2,1,2,1,2,1,1,0,41326,870,0,4.0,57
2,4,265,265,2,1,2,6,2,1,2,2,2,1,2,0,41336,136,0,0.0,125
1,3,307,0,1,1,7,0,1,1,2,1,2,1,1,0,41326,3256,0,4.0,103
2,4,299,0,2,4,7,0,2,1,1,1,2,1,1,0,41401,4772,0,7.0,61
2,1,266,0,2,1,7,0,2,1,2,1,2,1,1,0,41401,4049,0,2.0,9
1,12,307,0,1,1,4,0,2,1,2,1,2,1,1,0,41336,1125,0,5.0,79
2,4,265,279,1,1,0,0,2,2,1,1,2,1,1,100,41326,2065,0,4.0,33
1,2,307,0,1,1,2,0,2,1,2,1,2,1,1,0,41326,4397,0,7.0,17
2,36,266,0,2,4,0,0,3,1,1,1,2,1,1,0,41401,126,0,10.0,3
1,1,307,0,3,1,7,0,1,2,2,2,2,1,2,0,41326,4340,0,1.0,53
1,5,307,0,3,1,2,7,2,1,2,2,2,1,4,0,41326,928,0,4.0,30
1,24,20,0,1,2,5,7,2,1,1,1,1,1,1,0,41401,4281,0,1.0,32
2,26,248,285,2,2,5,7,2,3,1,1,2,1,1,0,41367,4760,0,12.0,71
1,3,307,307,2,1,2,7,2,1,2,2,2,1,2,0,41326,2927,0,2.0,4
2,3,266,0,2,1,7,0,1,1,2,2,2,1,1,0,41401,1115,0,1.0,28
1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41327,4470,0,5.0,47
2,1,303,0,2,1,6,7,2,1,2,2,2,1,1,0,41326,3764,0,5.0,51
1,2,307,0,1,1,2,7,2,1,1,1,2,1,1,0,41326,1000,0,6.0,78
1,3,78,70,1,1,3,0,3,2,3,3,2,1,1,0,41326,3247,0,2.0,17
1,2,307,218,2,2,0,0,2,2,1,1,2,1,1,0,41326,5451,0,4.0,76
2,2,299,0,3,1,3,7,2,1,2,2,2,1,5,0,41342,1796,0,3.0,113
2,2,266,0,1,1,0,0,1,1,3,3,3,1,1,0,41326,1069,0,2.0,47
1,6,103,307,2,1,0,0,3,2,1,1,2,1,1,0,41326,1827,0,2.0,84
1,1,307,307,1,2,0,0,2,1,2,2,2,1,1,0,41327,1797,0,1.0,24
1,1,307,0,2,2,7,0,2,1,2,2,2,1,3,0,41326,4053,0,3.0,57
1,12,307,0,2,3,5,0,2,2,2,2,2,2,1,0,41401,965,0,5.0,359
2,11,266,0,1,3,7,0,2,1,2,2,2,1,1,0,41332,2038,0,3.0,117
1,1,307,0,2,2,0,0,2,1,2,1,2,1,1,0,41326,4813,0,1.0,66
1,7,307,307,1,1,2,4,2,1,1,1,3,1,1,0,41336,1585,0,0.0,29
2,5,266,0,2,1,3,5,1,1,2,1,2,1,1,0,41401,667,0,3.0,30
1,24,307,0,2,1,2,5,2,2,1,1,2,1,1,0,41326,5091,0,1.0,191
2,2,265,0,2,1,4,7,3,2,2,1,3,1,1,40,41326,512,0,4.0,106
1,108,307,0,1,1,2,0,2,2,3,3,3,2,1,0,41401,5186,0,4.0,150
1,1,307,0,3,1,2,0,2,1,2,1,2,1,2,0,41326,870,0,4.0,25
2,2,266,0,2,1,7,0,2,1,1,1,2,1,1,0,41401,4381,0,7.0,159
1,1,307,0,3,1,7,0,2,1,2,1,2,1,7,0,41401,861,0,2.0,10
1,36,307,0,1,5,6,0,1,2,3,3,3,2,1,0,41326,747,0,3.0,109
1,18,75,0,1,2,0,0,1,1,1,1,1,1,1,0,41401,597,0,1.0,81
1,1,307,307,1,7,0,0,3,1,2,1,2,1,1,50,41332,5414,0,1.0,52
1,3,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41325,2060,0,3.0,37
1,2,307,0,1,1,2,0,2,1,1,1,2,1,1,0,41326,5451,0,5.0,49
2,2,299,265,2,1,6,0,1,2,3,3,3,1,1,0,41401,3049,0,2.0,14
2,1,241,305,2,1,7,0,1,1,1,1,2,1,1,0,41326,5384,0,2.0,110
1,4,307,0,3,2,0,0,2,2,2,2,2,2,5,0,41326,1723,0,5.0,184
1,3,307,189,1,1,7,0,3,2,1,1,2,2,2,0,41326,1327,0,9.0,50
1,1,103,307,1,1,2,0,2,2,3,3,2,1,1,0,41326,5451,0,2.0,14
1,56,205,0,2,5,7,0,1,3,1,1,2,1,1,0,41326,2179,0,0.0,71
1,2,307,141,2,2,0,0,2,2,1,1,2,1,1,0,41326,5451,0,0.0,28
1,3,218,119,2,2,0,0,2,2,1,1,1,1,1,0,41401,4233,0,2.0,34
1,0,307,307,1,7,0,0,2,1,1,1,2,1,1,0,41326,3533,0,3.0,18
1,12,307,0,2,1,2,7,2,1,1,1,1,1,1,0,41325,3245,0,3.0,78
1,1,307,0,2,7,0,0,1,1,2,2,2,1,1,0,41326,5373,0,1.0,24
1,12,307,0,2,4,7,0,2,1,1,1,1,1,1,0,41327,2300,0,3.0,12
1,2,307,0,3,1,2,7,2,1,2,2,2,1,6,0,41327,2835,0,2.0,11
1,1,307,0,3,1,2,7,2,2,2,2,2,1,5,0,41326,3291,0,14.0,137
2,1,241,242,2,4,5,7,2,3,3,3,3,1,1,0,41326,1427,0,3.0,11
2,2,285,0,3,7,0,0,2,2,2,2,2,1,2,150,41326,1498,0,3.0,34
2,1,265,0,1,6,7,0,2,2,2,2,2,1,1,0,41326,2598,0,1.0,9
1,12,307,0,1,2,0,0,2,2,1,1,1,1,1,0,41401,5186,0,1.0,14
1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,4049,0,2.0,23
1,1,213,307,3,1,2,7,2,2,1,1,2,1,2,0,41332,3012,0,10.0,10
2,4,264,0,2,1,0,0,3,3,2,1,2,1,1,100,41401,337,0,4.0,22
1,4,307,307,3,2,3,7,1,1,3,3,3,1,5,0,41326,2024,0,8.0,22
1,15,78,307,1,1,2,0,2,1,1,1,1,1,1,0,41401,3825,0,1.0,147
1,6,307,0,2,1,3,7,1,2,2,2,2,1,1,0,41326,5358,0,4.0,16
1,72,20,0,2,2,4,7,2,2,1,1,3,1,1,0,41401,1339,0,0.0,77
1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,1580,0,1.0,74
1,4,307,0,2,1,2,0,2,2,1,1,1,1,3,0,41326,5316,0,2.0,152
1,1,307,0,1,1,2,7,2,1,2,2,2,1,1,0,41326,3928,0,5.0,44
2,12,265,265,1,4,7,0,2,2,1,2,2,1,1,0,41326,3980,0,5.0,32
2,2,265,0,3,1,2,4,1,1,2,1,2,1,3,0,41401,306,0,4.0,19
1,4,307,0,2,1,2,7,2,2,2,2,2,1,1,0,41401,5178,0,1.0,32
1,1,307,0,1,2,3,0,1,1,1,1,2,2,1,0,41401,1189,0,3.0,75
2,2,307,307,3,1,0,0,1,2,2,2,2,1,2,0,41326,4468,0,5.0,146
1,4,307,0,2,1,2,5,2,1,1,1,2,1,3,0,41326,1454,0,3.0,18
1,6,195,218,1,5,6,0,2,2,1,1,2,1,1,200,41327,5256,0,2.0,17
1,3,307,0,1,1,0,0,2,1,1,1,1,1,1,0,41327,692,0,1.0,42
2,8,266,0,1,6,7,0,2,2,1,1,2,1,1,150,41401,3739,0,3.0,31
1,24,307,0,2,1,0,0,1,2,3,3,3,1,1,0,41326,110,0,1.0,68
1,2,200,307,2,2,0,0,2,1,3,3,2,1,1,0,41326,5451,0,4.0,21
1,3,307,0,3,1,0,0,2,1,2,2,2,1,2,0,41326,3316,0,2.0,26
1,3,307,0,1,1,0,0,2,1,3,3,2,1,1,0,41326,5451,0,2.0,16
2,18,266,0,2,1,3,7,2,1,2,2,1,1,1,0,41325,2768,0,2.0,15
1,2,307,0,1,1,7,0,2,2,2,2,2,1,1,0,41327,647,0,5.0,7
1,12,307,65,2,1,2,0,2,2,1,1,2,1,1,0,41326,4939,0,3.0,143
1,75,189,307,2,1,0,0,2,1,1,1,1,1,1,0,41326,4640,0,2.0,26
1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,41336,1125,0,1.0,30
1,1,307,307,3,1,2,0,2,1,2,2,2,1,7,0,41330,3974,0,4.0,72
2,3,265,265,2,2,6,0,1,2,2,2,2,1,2,0,41336,1126,0,4.0,4
2,3,292,266,1,1,7,0,1,1,2,2,2,1,2,0,41326,5094,0,4.0,14
1,2,307,0,2,1,2,7,1,1,1,1,2,1,1,0,41326,1816,0,3.0,115
1,2,307,307,1,2,7,0,2,1,2,2,2,1,1,100,41326,1748,0,2.0,4
1,2,307,0,2,1,5,0,2,2,1,1,2,1,1,0,41330,4253,0,2.0,39
2,6,299,0,3,6,7,0,1,1,2,1,2,1,2,0,41336,1419,0,1.0,82
2,3,283,283,3,1,3,7,1,1,2,2,2,1,3,0,41401,3785,0,1.0,36
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41327,1130,0,1.0,12
1,36,307,0,1,2,0,0,2,2,3,3,1,2,1,0,41327,3200,1,1.0,182
1,6,307,0,1,2,7,0,1,1,1,1,2,1,1,0,41327,4068,0,2.0,15
1,1,307,0,3,1,6,7,2,1,2,2,2,1,6,0,41332,2066,0,0.0,19
2,12,266,266,3,2,7,0,2,1,1,1,1,1,7,0,41401,2563,0,5.0,29
2,2,266,0,1,1,3,5,2,1,2,2,2,1,5,0,41401,2116,0,3.0,37
2,1,266,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,1891,0,3.0,3
1,18,72,307,1,5,0,0,2,2,1,1,1,1,1,200,41326,919,0,2.0,52
1,3,307,0,2,2,7,0,2,2,1,1,2,1,1,0,41326,3293,0,2.0,46
1,1,109,141,2,3,0,0,1,1,2,2,2,1,1,0,41401,3981,0,4.0,23
2,3,276,285,2,1,2,0,1,1,2,2,2,1,1,0,41330,3911,0,5.0,76
1,4,76,0,2,1,7,0,2,1,2,2,2,1,1,0,41326,3540,0,3.0,187
1,2,307,0,1,1,2,7,2,2,2,1,2,1,1,0,41401,2746,0,5.0,120
1,2,307,0,2,3,0,0,2,1,1,1,2,1,1,0,41326,3106,0,1.0,21
1,2,307,0,1,1,7,0,2,2,1,1,2,2,1,0,41401,3284,0,4.0,57
2,2,266,0,2,1,0,0,2,1,1,1,2,1,1,0,41401,3431,0,5.0,10
1,2,307,0,2,3,0,0,2,1,1,1,2,1,1,0,41326,3106,0,1.0,21
2,5,254,0,2,1,2,7,1,1,1,1,1,1,1,200,41336,4720,0,6.0,233
2,1,241,241,3,1,2,0,1,1,2,2,2,1,4,0,41330,134,0,3.0,78
2,1,266,0,3,1,2,5,2,1,2,2,2,1,4,0,41326,1891,0,3.0,3
1,1,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,5451,0,5.0,15
1,96,205,0,2,2,4,5,1,3,1,1,1,1,1,150,41401,349,0,4.0,93
2,12,266,0,1,5,6,0,2,1,2,1,2,1,1,0,41326,2725,0,1.0,1
2,12,253,0,1,1,7,0,2,1,1,1,1,2,1,0,41326,2009,0,3.0,189
1,24,179,0,1,7,0,0,1,2,3,3,3,1,1,0,41401,4233,0,3.0,27
1,13,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41401,5040,0,6.0,14
2,4,266,0,2,2,3,5,2,1,2,2,2,1,2,0,41326,4712,0,1.0,39
1,60,307,0,1,4,0,0,2,3,3,3,1,2,1,0,41326,4133,0,3.0,241
2,1,266,0,1,3,4,6,2,2,2,2,2,1,1,0,41326,1427,0,3.0,24
1,3,227,307,1,2,0,0,2,1,1,1,2,1,1,0,41401,5397,0,1.0,64
1,36,103,307,1,1,2,0,3,2,1,1,1,1,1,0,41330,1877,0,1.0,80
2,1,266,0,3,1,2,6,1,1,2,2,2,1,5,0,41401,509,0,6.0,33
2,2,266,0,2,1,7,0,1,1,1,1,2,1,1,0,41327,659,0,25.0,51
1,3,307,78,2,1,2,0,2,1,1,1,2,1,1,200,41326,1519,0,5.0,119
2,3,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41401,5236,0,3.0,8
1,2,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,478,0,2.0,36
1,1,307,0,3,2,5,7,2,1,2,2,2,1,7,0,41326,2121,0,15.0,42
2,2,266,0,1,3,0,0,2,2,2,2,2,1,1,0,41401,2571,0,4.0,41
2,18,266,0,3,4,0,0,3,1,2,2,2,1,5,0,41345,45,0,1.0,74
2,4,266,0,2,5,6,7,2,1,2,2,2,1,1,10,41361,2704,0,5.0,33
1,3,307,0,1,1,2,0,2,1,1,1,2,1,1,0,41401,1311,0,1.0,222
1,3,307,0,1,2,0,0,3,1,1,1,1,1,1,50,41401,631,0,2.0,31
2,1,266,0,2,6,7,0,1,1,2,2,2,1,1,0,41336,4517,0,1.0,35
1,15,179,0,2,2,0,0,1,2,1,1,2,1,2,300,41332,2483,0,1.0,21
1,36,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41330,4917,0,4.0,47
2,6,265,265,2,2,6,0,2,2,1,1,1,1,1,100,41401,3075,0,2.0,197
1,12,109,0,2,3,4,5,3,2,1,1,2,1,1,0,41327,2835,0,3.0,1
2,17,266,0,2,1,7,0,1,1,1,1,1,1,1,60,41326,2217,0,1.0,16
1,18,307,0,2,1,0,0,2,2,1,1,1,1,1,0,41332,4431,0,3.0,34
2,12,265,299,1,2,4,7,3,1,2,1,2,1,1,0,41326,2999,1,5.0,65
1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41401,2962,0,1.0,53
2,3,266,0,2,2,4,7,1,1,2,1,2,1,1,0,41401,4233,0,2.0,29
1,2,218,0,2,1,7,0,2,1,2,2,2,1,1,0,41326,3764,0,11.0,42
2,3,264,0,1,2,7,0,2,3,2,1,2,1,1,38,41326,2223,0,4.0,70
1,36,307,0,1,2,0,0,2,1,1,1,1,2,1,0,41401,4901,0,2.0,212
1,48,307,0,2,3,0,0,2,3,1,1,1,1,1,0,41326,5451,0,1.0,36
1,2,307,0,1,2,0,0,2,1,2,1,2,1,1,0,41327,1130,0,2.0,90
1,2,307,0,1,1,2,0,2,2,3,3,3,1,3,0,41326,3521,0,3.0,32
1,4,17,307,2,2,7,0,3,3,1,1,2,1,1,0,41326,5451,0,3.0,22
1,2,307,0,1,1,0,0,2,2,2,2,2,1,1,0,41326,150,0,5.0,63
1,2,307,0,2,7,0,0,2,2,2,1,2,1,1,0,41327,1121,0,1.0,8
1,48,307,0,2,2,7,0,2,2,1,1,3,1,1,0,41327,1130,0,2.0,85
1,14,7,0,1,2,0,0,2,1,1,1,3,1,1,500,41330,4150,0,2.0,7
2,10,243,0,2,1,2,7,2,1,2,2,2,1,1,0,41326,2945,0,3.0,47
1,48,82,0,2,2,7,0,2,1,3,3,3,1,1,0,41326,2217,0,7.0,24
2,2,266,0,1,6,7,0,2,1,2,1,2,1,1,0,41326,2577,0,1.0,28
2,1,266,0,2,2,5,7,1,1,2,2,2,1,1,0,41336,4517,0,4.0,16
2,13,266,0,1,1,7,0,2,1,1,1,1,1,1,0,41326,3695,1,3.0,158
1,3,307,227,2,2,0,0,2,2,2,1,1,1,1,50,41326,4090,0,6.0,59
1,2,78,307,2,1,2,0,2,1,1,1,2,1,1,0,41326,5451,0,4.0,22
2,0,265,292,3,1,4,5,2,2,1,1,1,1,3,0,41325,1600,0,3.0,13
1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41326,3964,0,9.0,84
1,3,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41401,2165,0,5.0,9
1,3,307,0,2,2,7,0,2,1,3,1,2,1,1,0,41401,4233,0,9.0,37
1,4,307,0,2,7,0,0,1,1,2,2,2,1,1,20,41327,839,0,1.0,19
2,0,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41326,2762,0,2.0,10
