Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,description_wordcount,age_category
1,2,307,0,2,1,2,0,2,1,1,1,3,1,1,0,41327,0,1.0,38,0.0
1,2,307,0,1,1,2,7,2,2,2,2,2,1,1,0,41324,0,3.0,133,0.0
2,2,266,0,2,5,7,0,2,1,1,1,1,1,1,0,41336,0,3.0,110,0.0
2,1,306,0,3,1,7,0,2,1,2,2,2,1,2,0,41327,0,2.0,43,0.0
2,11,266,0,1,3,0,0,1,1,1,1,1,1,1,0,41327,0,1.0,36,2.0
1,36,109,307,1,5,0,0,3,2,1,1,1,1,1,0,41401,0,1.0,114,1.0
1,3,307,0,2,1,2,0,2,1,2,1,2,1,1,0,41326,0,1.0,2,0.0
2,3,266,0,2,1,2,7,1,1,1,1,2,1,1,0,41401,0,9.0,177,0.0
1,2,307,141,2,2,0,0,2,2,1,1,2,1,1,0,41326,0,0.0,28,0.0
1,24,218,0,2,7,0,0,1,2,3,3,3,1,1,0,41326,0,1.0,185,1.0
2,19,266,0,2,1,3,7,2,1,1,1,1,1,1,0,41326,0,1.0,23,1.0
2,3,266,0,1,1,2,7,2,1,2,1,2,1,1,0,41326,0,6.0,32,0.0
1,18,205,0,2,5,6,0,1,2,1,3,3,1,1,0,41326,0,1.0,40,1.0
1,2,307,307,1,7,0,0,2,2,2,2,2,1,1,0,41326,0,4.0,46,0.0
1,1,307,0,2,1,7,0,2,1,1,1,2,1,1,0,41326,0,1.0,12,0.0
1,2,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,0,1.0,18,0.0
2,2,266,266,3,3,0,0,1,1,1,1,2,1,2,0,41401,0,4.0,36,0.0
2,1,266,0,3,1,2,5,2,1,2,2,2,1,4,0,41326,0,3.0,3,0.0
1,2,307,0,1,1,2,0,2,1,2,1,2,1,1,0,41326,0,4.0,25,0.0
2,2,266,0,1,6,7,0,2,1,2,2,2,1,1,0,41401,0,4.0,259,0.0
1,24,141,0,1,5,0,0,3,1,1,1,1,1,1,0,41330,0,4.0,4,1.0
1,1,307,141,3,3,4,5,2,1,2,2,2,1,5,0,41327,0,1.0,49,0.0
1,1,307,0,3,1,2,7,2,1,2,2,2,1,6,0,41327,0,5.0,70,0.0
2,1,266,266,3,1,4,7,1,1,3,3,2,1,4,0,41401,0,3.0,21,0.0
2,5,266,0,1,6,0,0,2,1,1,1,1,1,1,0,41401,0,10.0,105,0.0
1,4,307,0,2,1,2,5,2,1,1,1,2,1,3,0,41326,0,3.0,18,0.0
1,4,307,0,1,1,7,0,2,1,3,3,3,1,1,0,41326,0,1.0,17,0.0
2,3,243,0,2,1,4,7,2,2,2,2,2,1,1,0,41326,0,2.0,4,0.0
2,3,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41326,0,4.0,130,0.0
2,24,288,292,1,2,5,0,2,1,1,1,2,1,1,0,41326,0,6.0,84,1.0
2,12,266,0,1,6,7,0,2,1,1,1,1,1,1,0,41401,0,2.0,123,2.0
1,2,114,141,1,1,0,0,3,1,1,1,2,1,1,0,41401,0,2.0,46,0.0
2,2,265,0,3,1,6,0,1,2,2,2,2,1,3,0,41326,0,7.0,44,0.0
2,3,265,0,1,4,7,0,1,2,1,1,2,1,1,0,41326,0,0.0,11,0.0
1,1,307,0,3,1,2,7,2,2,2,2,2,1,5,0,41326,0,14.0,137,0.0
1,2,307,141,1,7,0,0,2,1,1,1,2,1,1,0,41326,0,5.0,50,0.0
2,1,266,0,3,1,6,7,1,1,2,2,2,1,6,0,41326,0,3.0,16,0.0
2,9,266,0,1,1,3,0,1,1,1,1,1,1,2,0,41327,0,1.0,36,2.0
2,2,265,0,2,2,0,0,3,2,2,1,3,1,1,0,41326,0,2.0,47,0.0
2,1,266,0,1,3,0,0,1,1,2,2,2,1,2,0,41326,0,4.0,24,0.0
1,12,189,307,1,1,0,0,2,1,2,2,2,1,1,0,41401,0,3.0,26,2.0
2,2,292,0,1,1,7,0,2,1,2,2,2,1,3,0,41326,0,5.0,38,0.0
1,9,307,0,2,2,0,0,3,1,2,1,3,1,1,0,41326,0,3.0,106,2.0
1,3,109,307,2,3,5,0,3,2,3,1,2,1,1,0,41326,0,3.0,93,0.0
2,5,266,0,1,6,7,0,2,1,2,1,2,1,1,0,41401,0,18.0,234,0.0
2,5,292,0,1,2,7,0,2,1,2,1,2,1,1,0,41326,0,3.0,81,0.0
1,3,147,178,1,2,0,0,2,2,2,1,2,1,1,600,41401,1,15.0,52,0.0
1,3,307,0,1,2,0,0,2,1,1,1,3,1,1,0,41327,0,1.0,37,0.0
1,2,307,0,3,1,2,7,2,1,2,2,2,1,2,0,41327,0,0.0,59,0.0
2,3,266,299,2,2,6,0,2,1,2,2,2,1,1,0,41326,0,9.0,155,0.0
1,3,307,307,2,1,2,4,2,1,1,1,2,1,2,0,41401,0,3.0,175,0.0
2,1,266,0,2,2,5,6,1,1,2,1,2,1,1,0,41326,0,3.0,27,0.0
1,2,307,307,3,2,7,0,1,2,2,2,3,1,9,0,41326,0,1.0,44,0.0
2,2,276,266,3,1,2,7,2,2,2,2,2,1,4,0,41326,0,8.0,68,0.0
2,1,283,0,3,1,6,7,1,1,2,2,3,1,6,0,41326,0,5.0,49,0.0
1,36,152,0,2,1,2,3,1,1,1,1,2,1,1,0,41326,0,1.0,31,1.0
1,1,307,307,2,1,7,0,2,1,2,2,2,1,5,0,41332,0,4.0,111,0.0
1,4,307,0,1,1,7,0,2,1,1,1,2,1,1,0,41401,0,1.0,47,0.0
1,24,307,0,2,1,4,5,2,1,1,1,1,1,1,0,41401,0,6.0,52,1.0
2,5,266,0,1,1,5,7,2,1,1,1,2,1,1,40,41336,0,5.0,157,0.0
2,7,261,250,2,2,7,0,2,2,1,1,2,1,1,0,41326,0,5.0,48,2.0
1,60,205,0,2,1,2,5,1,1,3,1,2,1,1,0,41401,0,2.0,55,1.0
2,3,265,0,1,2,7,0,1,2,1,1,3,1,1,0,41401,0,1.0,91,0.0
2,1,265,283,1,1,2,0,1,2,2,1,2,2,1,0,41326,0,5.0,74,0.0
1,24,147,0,1,7,0,0,1,2,1,1,1,1,1,0,41401,1,5.0,177,1.0
2,3,264,0,1,3,4,7,1,3,2,2,2,1,1,0,41326,0,3.0,123,0.0
1,3,307,0,1,1,0,0,2,1,1,1,1,1,1,0,41327,0,1.0,42,0.0
2,3,266,0,2,1,2,7,2,1,2,2,2,1,1,0,41326,0,1.0,6,0.0
1,12,307,0,2,1,7,0,2,1,1,1,1,1,1,0,41327,0,1.0,38,2.0
2,4,299,0,2,1,2,0,1,1,1,1,2,1,1,0,41327,0,1.0,38,0.0
2,24,265,0,2,3,0,0,2,2,1,1,1,1,2,30,41326,0,2.0,31,1.0
1,33,307,0,2,2,7,0,2,1,1,1,1,1,1,80,41326,0,1.0,16,1.0
2,3,266,0,2,1,0,0,1,1,2,2,2,1,1,0,41326,0,2.0,32,0.0
1,1,307,0,1,1,7,0,2,1,2,2,2,1,1,0,41326,0,1.0,1,0.0
1,1,307,0,2,1,0,0,2,2,2,2,2,1,1,0,41326,0,4.0,64,0.0
2,1,264,0,1,1,6,7,2,3,2,2,2,2,1,0,41326,0,4.0,29,0.0
1,64,307,0,1,2,0,0,3,1,1,1,1,1,1,50,41326,0,3.0,20,1.0
2,1,266,0,1,2,3,5,2,2,2,2,2,1,1,0,41326,0,11.0,102,0.0
1,11,307,0,1,1,7,0,2,2,1,1,2,1,1,0,41401,0,2.0,12,2.0
2,5,266,0,2,6,0,0,1,1,1,1,1,1,1,50,41326,0,3.0,24,0.0
1,1,307,0,1,2,7,0,2,1,2,2,2,1,1,0,41401,0,1.0,66,0.0
1,7,307,0,1,1,0,0,2,1,3,3,3,1,1,0,41401,1,3.0,6,2.0
2,2,265,0,1,3,7,0,2,2,2,1,2,1,1,0,41324,0,6.0,147,0.0
1,2,20,0,2,1,2,7,1,1,2,2,3,1,1,0,41401,0,1.0,1,0.0
2,6,266,0,1,2,6,7,2,1,1,1,2,1,1,0,41336,0,2.0,12,0.0
1,11,307,307,1,5,0,0,2,1,1,1,1,1,1,0,41326,0,0.0,20,2.0
2,12,285,264,1,5,7,0,2,2,3,1,1,1,1,550,41326,0,3.0,16,2.0
2,3,265,0,3,3,7,0,3,2,2,2,2,1,2,0,41401,0,3.0,50,0.0
2,6,265,0,1,3,0,0,2,2,1,1,1,1,1,0,41326,0,2.0,4,0.0
1,48,103,0,2,1,2,6,3,3,1,1,2,1,2,1500,41327,0,7.0,68,1.0
1,4,307,307,1,3,5,0,2,1,1,1,2,1,1,0,41326,0,4.0,65,0.0
2,3,247,243,2,1,6,0,2,1,2,2,2,1,1,0,41326,0,3.0,150,0.0
2,4,265,0,3,1,6,0,2,2,2,1,2,1,5,0,41367,0,2.0,5,0.0
2,5,266,0,1,1,0,0,1,1,1,1,2,1,1,0,41401,0,2.0,30,0.0
2,3,242,0,2,1,6,7,2,2,2,2,2,1,1,0,41326,0,5.0,9,0.0
1,36,69,0,2,2,0,0,1,2,1,1,2,1,1,150,41326,0,5.0,80,1.0
2,3,266,0,3,1,0,0,2,1,2,1,2,1,2,0,41327,0,2.0,60,0.0
2,5,243,268,1,1,0,0,2,1,1,1,1,1,1,100,41401,0,2.0,6,0.0
1,8,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,0,1.0,3,2.0
2,3,299,266,2,1,7,0,1,1,1,1,2,1,1,0,41401,0,5.0,38,0.0
2,2,299,0,1,7,0,0,1,1,2,2,2,1,1,0,41401,0,1.0,58,0.0
1,2,307,141,2,2,5,0,3,2,1,1,2,1,1,0,41401,0,1.0,60,0.0
1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,250,41327,0,1.0,1,0.0
1,3,128,307,3,2,5,7,1,2,1,1,2,1,4,350,41327,0,4.0,47,0.0
2,11,285,0,2,2,3,0,3,3,2,1,2,1,5,150,41401,0,1.0,41,2.0
2,3,266,0,2,1,7,0,1,1,2,2,2,1,1,0,41401,0,4.0,10,0.0
1,2,307,0,1,1,0,0,2,1,2,1,2,1,1,0,41326,1,2.0,10,0.0
1,3,307,0,2,1,7,0,2,2,1,1,2,1,1,150,41401,0,6.0,82,0.0
2,3,284,0,1,3,0,0,3,1,2,1,2,1,1,0,41326,0,4.0,32,0.0
1,1,307,0,1,1,7,0,2,2,1,1,2,1,1,0,41330,0,1.0,42,0.0
2,3,265,0,2,7,0,0,2,2,2,2,2,1,1,0,41326,0,5.0,79,0.0
2,24,266,0,2,6,0,0,2,1,2,2,2,1,1,0,41326,0,2.0,32,1.0
2,1,266,0,3,1,7,0,2,1,2,2,2,1,4,0,41326,0,2.0,131,0.0
1,2,307,0,2,1,2,5,2,1,1,1,2,1,1,0,41327,0,1.0,38,0.0
2,15,266,0,1,3,0,0,3,1,1,1,2,1,1,0,41401,0,1.0,2,1.0
1,14,307,0,1,5,0,0,2,1,1,1,1,1,1,180,41326,0,4.0,50,1.0
1,4,141,0,2,1,0,0,2,1,1,1,2,1,1,0,41401,0,3.0,88,0.0
2,2,266,0,1,5,0,0,2,1,2,1,3,1,4,0,41326,0,1.0,49,0.0
1,2,307,0,1,7,0,0,2,2,2,2,2,1,1,0,41326,0,1.0,40,0.0
1,1,307,173,2,5,7,0,2,1,2,2,2,1,1,0,41401,0,1.0,51,0.0
2,3,265,245,2,1,7,0,3,2,2,1,2,1,1,0,41401,0,5.0,12,0.0
2,24,265,0,3,1,7,0,2,2,2,2,2,1,3,0,41326,0,3.0,91,1.0
1,0,307,141,1,1,0,0,2,1,2,2,2,1,1,100,41401,0,2.0,108,0.0
2,3,243,0,1,3,4,0,2,2,2,2,2,1,1,0,41326,0,3.0,5,0.0
2,2,266,0,2,1,2,7,1,1,3,3,2,1,1,0,41327,0,1.0,67,0.0
2,1,285,264,2,3,5,0,2,3,2,1,2,1,1,150,41326,0,7.0,118,0.0
2,24,265,0,2,7,0,0,2,2,3,3,3,1,1,15,41324,0,1.0,14,1.0
1,1,307,173,2,1,3,0,3,1,2,1,2,1,1,0,41401,0,1.0,22,0.0
2,2,243,0,1,7,0,0,2,2,2,2,2,1,1,0,41326,0,3.0,5,0.0
2,3,266,266,3,1,6,7,2,1,3,3,3,1,11,0,41326,0,5.0,53,0.0
1,16,103,307,1,1,5,0,3,2,1,1,1,1,1,0,41401,0,1.0,88,1.0
1,2,307,307,2,2,0,0,2,2,2,1,2,1,1,0,41326,0,5.0,14,0.0
2,2,266,265,2,1,2,0,2,2,2,2,2,1,1,0,41326,0,11.0,24,0.0
2,2,266,0,3,1,2,7,1,1,2,2,2,1,2,0,41327,0,1.0,51,0.0
1,4,307,0,2,3,0,0,2,1,3,1,2,1,1,0,41401,0,0.0,56,0.0
1,2,187,307,3,2,4,5,2,1,1,1,2,1,4,0,41327,0,5.0,159,0.0
1,5,307,0,1,5,7,0,2,1,1,1,2,1,1,0,41336,0,1.0,26,0.0
1,12,307,0,1,2,0,0,2,3,3,3,3,2,1,0,41326,0,3.0,108,2.0
1,5,307,0,2,2,0,0,2,1,1,1,3,1,1,0,41327,0,1.0,40,0.0
1,7,206,0,2,2,0,0,2,2,1,1,2,1,1,500,41401,0,3.0,3,2.0
2,5,266,0,1,1,2,7,2,1,2,1,2,1,1,0,41327,0,1.0,110,0.0
1,2,76,76,3,1,2,7,1,2,1,3,3,1,5,0,41326,0,1.0,12,0.0
2,3,285,265,2,1,4,6,3,2,2,2,2,1,1,10,41326,0,2.0,30,0.0
1,12,69,0,1,2,5,0,2,2,3,3,3,1,1,0,41326,0,1.0,61,2.0
1,1,173,0,3,1,2,7,2,1,2,2,2,1,3,200,41336,0,3.0,29,0.0
1,3,307,0,1,1,7,0,2,2,1,1,2,1,1,0,41326,0,5.0,99,0.0
2,1,266,288,2,2,5,7,1,1,2,2,2,2,1,0,41326,0,14.0,58,0.0
2,2,285,0,3,7,0,0,2,2,2,2,2,1,2,150,41326,0,3.0,34,0.0
2,4,265,0,2,1,3,0,2,2,2,2,2,1,1,50,41326,0,5.0,70,0.0
2,2,266,266,2,1,3,0,2,1,2,2,2,1,1,0,41326,0,11.0,22,0.0
2,5,266,0,2,1,7,0,2,1,1,1,2,1,1,0,41326,0,3.0,14,0.0
1,2,307,307,2,2,7,0,2,1,2,1,2,1,1,0,41332,0,2.0,3,0.0
2,4,266,0,2,5,7,0,1,1,2,1,2,2,1,0,41401,0,7.0,53,0.0
2,2,266,0,2,1,4,7,2,1,2,1,2,1,1,0,41401,0,27.0,112,0.0
2,30,266,0,2,7,0,0,2,1,2,2,1,1,1,2,41401,0,3.0,105,1.0
1,48,78,0,2,1,0,0,3,1,1,1,2,1,1,0,41401,0,4.0,19,1.0
2,2,265,0,1,2,0,0,3,2,2,1,3,1,1,0,41326,0,2.0,7,0.0
2,4,285,265,2,6,7,0,3,2,2,2,2,1,1,150,41326,0,5.0,27,0.0
2,3,266,0,2,1,2,6,2,1,2,2,2,1,2,50,41326,0,21.0,269,0.0
2,5,305,265,3,1,2,7,2,2,2,2,2,1,4,0,41401,0,5.0,24,0.0
2,24,254,0,1,1,7,0,2,1,1,1,1,1,3,0,41401,0,1.0,47,1.0
2,3,266,0,2,1,0,0,1,1,1,1,2,1,1,0,41326,0,4.0,78,0.0
2,4,266,0,1,1,3,0,2,1,2,2,2,1,2,0,41401,1,3.0,89,0.0
1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,250,41327,0,1.0,1,0.0
2,3,303,266,2,1,2,4,2,1,1,1,1,1,1,0,41326,0,4.0,104,0.0
2,3,266,0,2,1,0,0,1,1,2,1,2,1,1,0,41336,0,1.0,124,0.0
1,5,307,0,2,2,7,0,1,1,2,1,2,1,1,0,41326,0,2.0,210,0.0
1,30,307,0,1,3,5,7,2,1,1,1,1,1,1,0,41326,0,4.0,92,1.0
1,24,128,307,2,2,7,0,1,2,2,2,2,1,1,0,41327,0,1.0,56,1.0
2,28,266,0,2,1,3,7,2,1,1,1,1,1,1,0,41326,0,1.0,23,1.0
1,4,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,0,1.0,22,0.0
2,1,265,266,2,1,7,0,2,2,2,2,2,1,1,0,41326,0,16.0,15,0.0
2,3,248,243,2,1,2,6,2,2,2,1,2,1,1,0,41401,0,15.0,97,0.0
1,18,307,0,2,1,2,0,2,1,1,1,1,1,1,50,41326,0,1.0,16,1.0
1,60,213,307,1,2,5,0,2,2,1,1,3,1,1,0,41326,0,2.0,26,1.0
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41336,0,3.0,39,0.0
2,2,266,0,1,6,0,0,1,1,3,3,2,1,1,0,41401,0,1.0,15,0.0
2,1,266,0,2,1,4,0,2,1,2,2,2,1,1,0,41401,0,1.0,5,0.0
1,3,307,0,1,1,0,0,3,1,3,3,3,1,1,0,41401,0,2.0,136,0.0
1,24,182,0,1,5,0,0,1,1,1,1,1,1,1,0,41401,0,1.0,3,1.0
1,1,307,0,1,2,7,0,2,2,2,2,2,1,1,0,41326,0,3.0,18,0.0
2,1,299,0,3,4,0,0,2,1,2,1,2,1,3,0,41401,0,3.0,131,0.0
1,48,307,0,2,2,0,0,3,2,1,1,1,1,1,0,41401,0,2.0,2,1.0
1,12,179,182,3,1,0,0,2,1,3,3,3,1,2,0,41324,0,1.0,68,2.0
2,8,266,264,1,1,7,0,1,1,2,2,2,1,1,5,41326,0,4.0,6,2.0
2,2,266,299,2,2,0,0,2,1,2,2,2,1,1,0,41327,2,15.0,44,0.0
1,18,109,0,1,3,0,0,3,1,1,1,2,1,1,200,41326,0,3.0,103,1.0
2,3,266,0,1,3,0,0,1,1,2,1,2,2,1,0,41336,0,2.0,28,0.0
1,2,213,307,3,1,2,5,2,2,2,1,2,1,4,0,41332,0,3.0,6,0.0
1,60,307,307,2,3,4,7,2,2,1,1,2,2,1,0,41330,0,1.0,27,1.0
2,2,266,0,2,4,6,7,1,1,2,2,2,1,2,0,41401,0,6.0,100,0.0
2,3,266,0,1,6,7,0,2,1,1,1,2,1,1,0,41401,0,3.0,191,0.0
2,2,266,0,1,7,0,0,1,1,2,2,2,1,1,0,41326,0,5.0,110,0.0
1,2,307,0,1,2,0,0,2,1,2,1,2,1,1,0,41326,0,1.0,21,0.0
1,12,307,0,1,1,2,6,1,2,3,3,3,1,1,0,41326,0,5.0,37,2.0
1,2,307,0,3,1,2,7,2,2,3,3,3,1,5,0,41326,0,3.0,33,0.0
2,14,266,0,2,4,0,0,1,1,1,1,1,1,1,60,41326,0,1.0,16,1.0
1,1,307,0,3,1,2,0,2,1,2,2,2,1,6,0,41327,0,3.0,37,0.0
2,26,266,276,1,3,5,0,3,2,1,1,1,1,1,100,41326,0,4.0,44,1.0
1,24,307,0,2,1,0,0,2,1,1,1,1,1,1,0,41401,0,9.0,53,1.0
1,1,307,0,2,1,3,0,2,1,1,1,2,1,1,0,41401,0,4.0,68,0.0
2,12,264,0,1,1,7,0,2,3,2,2,2,1,1,0,41326,0,3.0,33,2.0
1,36,19,0,2,2,7,0,2,1,1,1,1,1,1,0,41327,0,1.0,50,1.0
1,2,307,0,3,2,7,0,2,2,1,1,1,1,6,0,41326,0,5.0,18,0.0
1,8,307,307,1,2,4,5,2,1,2,2,2,1,1,0,41327,0,1.0,26,2.0
2,8,262,0,2,1,3,4,1,1,3,1,3,1,1,0,41327,0,1.0,28,2.0
1,2,307,307,2,1,2,0,2,2,1,1,2,1,2,0,41332,0,4.0,41,0.0
1,12,307,0,2,1,0,0,1,1,1,1,1,1,1,0,41401,0,5.0,119,2.0
1,36,307,0,1,2,4,7,2,1,1,1,1,1,1,0,41326,0,5.0,107,1.0
1,1,307,0,3,1,5,7,1,1,2,2,2,1,4,50,41336,0,5.0,97,0.0
1,12,152,0,1,2,0,0,1,1,2,2,2,1,1,0,41326,0,4.0,47,2.0
2,0,266,0,3,1,6,7,2,1,2,2,2,1,3,0,41327,0,6.0,41,0.0
2,6,266,0,2,6,7,0,2,1,1,1,2,1,1,0,41327,1,1.0,34,0.0
1,6,307,0,1,2,0,0,2,2,3,3,3,1,1,0,41401,0,1.0,7,0.0
1,1,307,0,2,6,0,0,2,1,2,2,2,1,1,0,41326,0,3.0,29,0.0
2,10,266,0,1,7,0,0,2,1,1,1,1,1,1,0,41327,0,6.0,43,2.0
1,2,109,307,2,1,0,0,2,2,2,2,2,1,1,0,41401,0,3.0,16,0.0
2,2,266,243,3,4,6,7,1,1,2,1,1,1,4,0,41326,0,5.0,9,0.0
2,1,266,0,2,1,2,7,1,1,2,2,2,1,1,0,41326,1,15.0,63,0.0
2,3,266,0,2,6,7,0,1,1,1,1,2,1,1,0,41401,0,4.0,200,0.0
1,3,307,307,1,1,0,0,2,1,2,2,2,1,1,0,41401,0,2.0,1,0.0
2,12,266,0,2,7,0,0,1,1,3,3,3,1,1,0,41326,0,1.0,5,2.0
1,0,307,0,3,1,2,0,2,1,3,3,3,1,7,0,41401,0,6.0,61,0.0
1,2,307,0,2,1,2,5,2,1,1,1,2,1,1,0,41326,0,4.0,10,0.0
2,6,266,0,2,6,0,0,2,1,2,3,2,1,1,0,41327,0,9.0,78,0.0
2,2,266,0,3,4,7,0,1,1,2,2,2,1,4,0,41401,0,1.0,17,0.0
1,12,82,0,1,2,7,0,3,1,3,3,2,1,1,500,41326,0,4.0,60,2.0
2,5,265,0,1,1,6,7,2,2,3,3,3,1,1,0,41326,0,1.0,2,0.0
2,14,265,0,1,2,3,6,2,2,2,2,2,1,1,0,41327,0,5.0,56,1.0
2,10,292,252,1,5,0,0,2,1,3,3,3,1,2,0,41326,0,3.0,100,2.0
1,38,205,205,3,1,5,7,1,2,1,1,1,1,2,0,41401,0,1.0,7,1.0
1,3,307,0,1,1,2,0,2,1,1,1,2,1,1,0,41401,0,1.0,222,0.0
2,24,266,0,1,1,0,0,1,1,1,1,1,1,1,0,41326,0,3.0,98,1.0
1,3,307,0,2,1,5,0,2,1,2,1,2,1,3,0,41326,0,5.0,19,0.0
2,6,266,0,2,6,0,0,2,1,2,3,2,1,1,0,41327,0,10.0,71,0.0
1,6,307,76,2,1,7,0,2,1,1,1,2,1,3,0,41330,0,3.0,70,0.0
1,90,82,0,1,2,7,0,3,2,1,1,3,1,1,0,41401,0,4.0,135,3.0
1,8,307,307,2,1,2,0,2,1,2,2,1,1,1,0,41326,0,2.0,19,2.0
1,5,307,0,2,2,6,0,2,2,1,1,3,1,1,0,41327,0,1.0,39,0.0
2,12,245,0,1,1,0,0,2,2,1,1,1,1,1,0,41326,0,2.0,43,2.0
1,12,307,103,1,1,2,0,2,1,1,1,1,1,1,70,41325,0,3.0,110,2.0
2,29,251,285,1,4,5,0,2,2,1,1,2,1,1,70,41326,0,3.0,138,1.0
1,2,307,0,1,3,0,0,2,1,1,1,2,1,1,0,41326,0,2.0,15,0.0
1,4,179,218,1,1,3,5,2,3,2,2,2,1,2,250,41332,0,3.0,9,0.0
2,4,266,0,1,6,7,0,1,1,1,1,2,1,1,0,41326,0,4.0,154,0.0
2,24,285,0,1,6,7,0,3,3,1,1,2,1,1,200,41326,0,10.0,87,1.0
2,8,266,0,1,1,7,0,2,2,2,2,2,1,1,0,41326,0,1.0,6,2.0
1,48,205,0,1,1,6,7,1,1,1,1,2,1,1,0,41326,0,5.0,147,1.0
1,36,203,72,2,2,5,0,2,2,1,1,1,1,1,0,41332,0,4.0,12,1.0
1,8,207,0,1,1,0,0,1,2,1,1,2,1,1,290,41332,0,1.0,24,2.0
2,3,266,0,1,3,0,0,2,2,2,1,2,3,1,0,41401,0,6.0,68,0.0
1,120,182,0,1,5,0,0,1,1,1,1,1,1,1,0,41401,0,1.0,100,3.0
1,1,307,0,1,1,2,0,2,1,3,3,2,1,4,0,41326,0,6.0,20,0.0
1,2,307,307,3,2,5,7,2,1,1,1,1,1,5,0,41336,0,9.0,2,0.0
2,1,266,0,2,2,3,4,1,1,2,1,2,1,1,0,41326,0,7.0,9,0.0
1,2,307,307,2,5,0,0,2,1,2,2,2,1,1,0,41327,0,4.0,229,0.0
2,2,266,0,2,1,6,0,1,1,2,1,2,1,1,0,41401,0,4.0,3,0.0
1,12,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41336,0,3.0,172,2.0
1,2,307,0,2,1,7,0,2,2,1,1,2,1,1,0,41326,0,5.0,31,0.0
2,1,266,0,2,7,0,0,1,1,2,2,2,1,1,0,41401,0,3.0,33,0.0
1,1,307,189,2,1,2,5,2,1,2,2,2,1,1,200,41326,0,3.0,240,0.0
2,1,265,0,1,1,7,0,2,2,2,2,2,1,2,0,41326,0,5.0,35,0.0
